Index,Zeta
0,0.249988
1,0.254788
2,0.259188
3,0.263189
4,0.266789
5,0.269989
6,0.272789
7,0.27519
8,0.27719
9,0.27879
10,0.27999
11,0.280791
12,0.281191
13,0.281191
14,0.280791
15,0.279992
16,0.278792
17,0.277192
18,0.275192
19,0.272793
20,0.269993
21,0.266793
22,0.263193
23,0.259194
24,0.254794
25,0.249994
26,0.244795
27,0.239195
28,0.233195
29,0.226795
30,0.219996
31,0.212796
32,0.205196
33,0.197196
34,0.188797
35,0.179997
36,0.170797
37,0.161197
38,0.151198
39,0.140798
40,0.129998
41,0.118798
42,0.107199
43,0.0951989
44,0.0827992
45,0.0699995
46,0.0567997
47,0.0432
48,0.0292002
49,0.0148005
50,7.4995e-07
